Level, GameLimit, MoveLimit, C, Win, MedalLeft, MovesMade, Score
2, 1, 1, 1.4, 0, 3, 25, 36800
2, 1, 1, 1.4, 0, 2, 25, 96700
2, 1, 1, 1.4, 0, 1, 25, 66000
2, 1, 1, 1.4, 0, 2, 25, 63000
2, 1, 1, 1.4, 0, 2, 25, 45600
2, 1, 1, 1.4, 0, 3, 25, 47100
2, 1, 1, 1.4, 0, 2, 25, 66700
2, 1, 1, 1.4, 0, 3, 25, 30200
2, 1, 1, 1.4, 0, 3, 25, 49900
2, 1, 1, 1.4, 0, 1, 25, 119500
2, 1, 1, 1.4, 0, 1, 25, 126300
2, 1, 1, 1.4, 0, 1, 25, 107500
2, 1, 1, 1.4, 0, 4, 25, 12800
2, 1, 1, 1.4, 0, 1, 25, 72300
2, 1, 1, 1.4, 0, 3, 25, 47800
2, 1, 1, 1.4, 0, 3, 25, 61800
2, 1, 1, 1.4, 0, 3, 25, 52000
2, 1, 1, 1.4, 0, 1, 25, 84900
2, 1, 1, 1.4, 0, 4, 25, 12700
2, 1, 1, 1.4, 0, 1, 25, 64400
2, 1, 1, 1.4, 0, 3, 25, 30700
2, 1, 1, 1.4, 0, 2, 25, 47200
2, 1, 1, 1.4, 0, 3, 25, 33400
2, 1, 1, 1.4, 1, 0, 20, 167625.0
2, 1, 1, 1.4, 0, 3, 25, 35700
2, 1, 1, 1.4, 0, 2, 25, 80900
2, 1, 1, 1.4, 0, 2, 25, 109000
2, 1, 1, 1.4, 0, 1, 25, 73600
2, 1, 1, 1.4, 0, 3, 25, 33300
2, 1, 1, 1.4, 0, 1, 25, 158800
2, 1, 1, 1.4, 0, 3, 25, 37700
2, 1, 1, 1.4, 0, 2, 25, 46400
2, 1, 1, 1.4, 1, 0, 25, 118400.0
2, 1, 1, 1.4, 0, 1, 25, 74300
2, 1, 1, 1.4, 0, 2, 25, 69500
2, 1, 1, 1.4, 0, 2, 25, 65300
2, 1, 1, 1.4, 0, 2, 25, 69000
2, 1, 1, 1.4, 0, 3, 25, 61500
2, 1, 1, 1.4, 0, 3, 25, 29800
2, 1, 1, 1.4, 0, 3, 25, 80700
2, 1, 1, 1.4, 0, 1, 25, 76800
2, 1, 1, 1.4, 0, 3, 25, 29400
2, 1, 1, 1.4, 0, 1, 25, 142800
2, 1, 1, 1.4, 0, 3, 25, 38200
2, 1, 1, 1.4, 0, 2, 25, 79900
2, 1, 1, 1.4, 0, 2, 25, 76800
2, 1, 1, 1.4, 0, 2, 25, 54500
2, 1, 1, 1.4, 0, 1, 25, 149100
2, 1, 1, 1.4, 0, 3, 25, 52900
2, 1, 1, 1.4, 0, 3, 25, 51800
2, 1, 1, 1.4, 0, 2, 25, 66200
2, 1, 1, 1.4, 0, 3, 25, 34100
2, 1, 1, 1.4, 0, 2, 25, 78400
2, 1, 1, 1.4, 0, 3, 25, 44800
2, 1, 1, 1.4, 0, 4, 25, 15900
2, 1, 1, 1.4, 0, 1, 25, 106800
2, 1, 1, 1.4, 0, 3, 25, 41500
2, 1, 1, 1.4, 0, 2, 25, 89000
2, 1, 1, 1.4, 0, 1, 25, 105400
2, 1, 1, 1.4, 0, 4, 25, 20600
2, 1, 1, 1.4, 0, 4, 25, 21200
2, 1, 1, 1.4, 0, 3, 25, 36400
2, 1, 1, 1.4, 0, 1, 25, 104400
2, 1, 1, 1.4, 0, 2, 25, 47400
2, 1, 1, 1.4, 0, 1, 25, 124900
2, 1, 1, 1.4, 0, 3, 25, 105100
2, 1, 1, 1.4, 0, 2, 25, 46600
2, 1, 1, 1.4, 0, 3, 25, 39600
2, 1, 1, 1.4, 0, 2, 25, 65800
2, 1, 1, 1.4, 0, 2, 25, 54500
2, 1, 1, 1.4, 0, 3, 25, 50100
2, 1, 1, 1.4, 0, 2, 25, 64100
2, 1, 1, 1.4, 0, 3, 25, 30200
2, 1, 1, 1.4, 0, 2, 25, 65800
2, 1, 1, 1.4, 0, 1, 25, 147800
2, 1, 1, 1.4, 0, 3, 25, 29400
2, 1, 1, 1.4, 0, 3, 25, 85900
2, 1, 1, 1.4, 0, 2, 25, 45200
2, 1, 1, 1.4, 0, 3, 25, 60900
2, 1, 1, 1.4, 0, 4, 25, 27900
2, 1, 1, 1.4, 0, 4, 25, 17500
2, 1, 1, 1.4, 0, 3, 25, 66300
2, 1, 1, 1.4, 0, 1, 25, 113000
2, 1, 1, 1.4, 0, 1, 25, 68100
2, 1, 1, 1.4, 0, 2, 25, 58500
2, 1, 1, 1.4, 0, 3, 25, 34100
2, 1, 1, 1.4, 0, 3, 25, 29400
2, 1, 1, 1.4, 0, 2, 25, 52800
2, 1, 1, 1.4, 0, 2, 25, 61400
2, 1, 1, 1.4, 0, 1, 25, 104700
2, 1, 1, 1.4, 0, 2, 25, 67100
2, 1, 1, 1.4, 0, 3, 25, 30600
2, 1, 1, 1.4, 1, 0, 24, 110625.0
2, 1, 1, 1.4, 0, 3, 25, 44800
2, 1, 1, 1.4, 0, 3, 25, 66300
2, 1, 1, 1.4, 0, 1, 25, 71800
2, 1, 1, 1.4, 0, 2, 25, 92000
2, 1, 1, 1.4, 0, 2, 25, 51500
2, 1, 1, 1.4, 0, 1, 25, 158500
2, 1, 1, 1.4, 0, 1, 25, 98000
2, 1, 3, 1.4, 0, 2, 25, 61200
2, 1, 3, 1.4, 0, 1, 25, 63400
2, 1, 3, 1.4, 0, 3, 25, 36700
2, 1, 3, 1.4, 0, 2, 25, 53600
2, 1, 3, 1.4, 0, 3, 25, 37100
2, 1, 3, 1.4, 0, 3, 25, 39300
2, 1, 3, 1.4, 0, 2, 25, 45400
2, 1, 3, 1.4, 0, 1, 25, 74100
2, 1, 3, 1.4, 0, 2, 25, 68300
2, 1, 3, 1.4, 0, 3, 25, 68000
2, 1, 3, 1.4, 0, 1, 25, 69300
2, 1, 3, 1.4, 0, 3, 25, 28900
2, 1, 3, 1.4, 0, 3, 25, 43800
2, 1, 3, 1.4, 0, 4, 25, 12100
2, 1, 3, 1.4, 0, 2, 25, 43500
2, 1, 3, 1.4, 1, 0, 24, 142291.66666666666
2, 1, 3, 1.4, 0, 2, 25, 62800
2, 1, 3, 1.4, 0, 4, 25, 15700
2, 1, 3, 1.4, 0, 2, 25, 49100
2, 1, 3, 1.4, 0, 2, 25, 90100
2, 1, 3, 1.4, 0, 1, 25, 83600
2, 1, 3, 1.4, 1, 0, 21, 176785.7142857143
2, 1, 3, 1.4, 0, 3, 25, 32400
2, 1, 3, 1.4, 0, 2, 25, 46100
2, 1, 3, 1.4, 0, 4, 25, 16000
2, 1, 3, 1.4, 0, 2, 25, 72700
2, 1, 3, 1.4, 0, 3, 25, 50400
2, 1, 3, 1.4, 0, 3, 25, 31500
2, 1, 3, 1.4, 0, 2, 25, 54100
2, 1, 3, 1.4, 0, 4, 25, 18400
2, 1, 3, 1.4, 0, 2, 25, 83900
2, 1, 3, 1.4, 0, 3, 25, 84400
2, 1, 3, 1.4, 0, 2, 25, 50200
2, 1, 3, 1.4, 0, 1, 25, 79900
2, 1, 3, 1.4, 0, 2, 25, 46400
2, 1, 3, 1.4, 0, 2, 25, 45600
2, 1, 3, 1.4, 0, 3, 25, 28700
2, 1, 3, 1.4, 0, 3, 25, 86800
2, 1, 3, 1.4, 0, 1, 25, 100700
2, 1, 3, 1.4, 0, 4, 25, 21700
